user_id,item_list
1,"Santa with Muscles (1996)|userCF_rec;Great Day in Harlem, A (1994)|userCF_rec;Toy Story (1995)|manual_rec;GoldenEye (1995)|manual_rec;Schindler's List (1993)|hotest_rec;Four Rooms (1995)|manual_rec;Aiqing wansui (1994)|userCF_rec;Get Shorty (1995)|manual_rec;Copycat (1995)|manual_rec;Casablanca (1942)|hotest_rec;Someone Else's America (1995)|userCF_rec;Shawshank Redemption, The (1994)|hotest_rec;Rear Window (1954)|hotest_rec;Entertaining Angels: The Dorothy Day Story (1996)|userCF_rec;Usual Suspects, The (1995)|hotest_rec;Star Wars (1977)|hotest_rec;Saint of Fort Washington, The (1993)|userCF_rec;Some Mother's Son (1996)|userCF_rec;Pather Panchali (1955)|userCF_rec;Anna (1996)|userCF_rec;To Kill a Mockingbird (1962)|hotest_rec;They Made Me a Criminal (1939)|userCF_rec;One Flew Over the Cuckoo's Nest (1975)|hotest_rec;Silence of the Lambs, The (1991)|hotest_rec;Godfather, The (1972)|hotest_rec"
2,"Toy Story (1995)|manual_rec;GoldenEye (1995)|manual_rec;Schindler's List (1993)|hotest_rec;Santa with Muscles (1996)|userCF_rec;Great Day in Harlem, A (1994)|userCF_rec;Four Rooms (1995)|manual_rec;Aiqing wansui (1994)|userCF_rec;Get Shorty (1995)|manual_rec;Someone Else's America (1995)|userCF_rec;Casablanca (1942)|hotest_rec;Copycat (1995)|manual_rec;Entertaining Angels: The Dorothy Day Story (1996)|userCF_rec;Shawshank Redemption, The (1994)|hotest_rec;Saint of Fort Washington, The (1993)|userCF_rec;Rear Window (1954)|hotest_rec;Usual Suspects, The (1995)|hotest_rec;Star Wars (1977)|hotest_rec;Some Mother's Son (1996)|userCF_rec;To Kill a Mockingbird (1962)|hotest_rec;One Flew Over the Cuckoo's Nest (1975)|hotest_rec;Pather Panchali (1955)|userCF_rec;Silence of the Lambs, The (1991)|hotest_rec;Godfather, The (1972)|hotest_rec;Anna (1996)|userCF_rec;They Made Me a Criminal (1939)|userCF_rec"
3,"Aiqing wansui (1994)|userCF_rec;Toy Story (1995)|manual_rec;GoldenEye (1995)|manual_rec;Four Rooms (1995)|manual_rec;Schindler's List (1993)|hotest_rec;Great Day in Harlem, A (1994)|userCF_rec;Get Shorty (1995)|manual_rec;Casablanca (1942)|hotest_rec;Santa with Muscles (1996)|userCF_rec;Shawshank Redemption, The (1994)|hotest_rec;Someone Else's America (1995)|userCF_rec;Rear Window (1954)|hotest_rec;Saint of Fort Washington, The (1993)|userCF_rec;Usual Suspects, The (1995)|hotest_rec;Star Wars (1977)|hotest_rec;Copycat (1995)|manual_rec;To Kill a Mockingbird (1962)|hotest_rec;One Flew Over the Cuckoo's Nest (1975)|hotest_rec;Silence of the Lambs, The (1991)|hotest_rec;Godfather, The (1972)|hotest_rec;Pather Panchali (1955)|userCF_rec;Entertaining Angels: The Dorothy Day Story (1996)|userCF_rec;Some Mother's Son (1996)|userCF_rec;Anna (1996)|userCF_rec;They Made Me a Criminal (1939)|userCF_rec"
4,"Toy Story (1995)|manual_rec;Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963)|userCF_rec;Raiders of the Lost Ark (1981)|userCF_rec;Empire Strikes Back, The (1980)|userCF_rec;Casablanca (1942)|userCF_rec;Close Shave, A (1995)|userCF_rec;12 Angry Men (1957)|userCF_rec;Schindler's List (1993)|hotest_rec;GoldenEye (1995)|manual_rec;Four Rooms (1995)|manual_rec;Shawshank Redemption, The (1994)|userCF_rec;Wallace & Gromit: The Best of Aardman Animation (1996)|userCF_rec;Delta of Venus (1994)|userCF_rec;Get Shorty (1995)|manual_rec;Copycat (1995)|manual_rec;Rear Window (1954)|hotest_rec;Usual Suspects, The (1995)|hotest_rec;Star Wars (1977)|hotest_rec;To Kill a Mockingbird (1962)|hotest_rec;One Flew Over the Cuckoo's Nest (1975)|hotest_rec;Silence of the Lambs, The (1991)|hotest_rec;Godfather, The (1972)|hotest_rec"
5,"Schindler's List (1993)|hotest_rec;Aiqing wansui (1994)|userCF_rec;Toy Story (1995)|manual_rec;Great Day in Harlem, A (1994)|userCF_rec;GoldenEye (1995)|manual_rec;Four Rooms (1995)|manual_rec;Boys, Les (1997)|userCF_rec;Get Shorty (1995)|manual_rec;Someone Else's America (1995)|userCF_rec;Copycat (1995)|manual_rec;Casablanca (1942)|hotest_rec;Shawshank Redemption, The (1994)|hotest_rec;Rear Window (1954)|hotest_rec;Usual Suspects, The (1995)|hotest_rec;Santa with Muscles (1996)|userCF_rec;Star Wars (1977)|hotest_rec;To Kill a Mockingbird (1962)|hotest_rec;One Flew Over the Cuckoo's Nest (1975)|hotest_rec;Silence of the Lambs, The (1991)|hotest_rec;Godfather, The (1972)|hotest_rec;Saint of Fort Washington, The (1993)|userCF_rec;Entertaining Angels: The Dorothy Day Story (1996)|userCF_rec;Pather Panchali (1955)|userCF_rec;Some Mother's Son (1996)|userCF_rec;Little City (1998)|userCF_rec"
6,"Toy Story (1995)|manual_rec;Great Day in Harlem, A (1994)|userCF_rec;GoldenEye (1995)|manual_rec;Four Rooms (1995)|manual_rec;Get Shorty (1995)|manual_rec;Aiqing wansui (1994)|userCF_rec;Someone Else's America (1995)|userCF_rec;Copycat (1995)|manual_rec;Schindler's List (1993)|hotest_rec;Casablanca (1942)|hotest_rec;Shawshank Redemption, The (1994)|hotest_rec;Rear Window (1954)|hotest_rec;Usual Suspects, The (1995)|hotest_rec;Star Wars (1977)|hotest_rec;To Kill a Mockingbird (1962)|hotest_rec;One Flew Over the Cuckoo's Nest (1975)|hotest_rec;Silence of the Lambs, The (1991)|hotest_rec;Godfather, The (1972)|hotest_rec;Santa with Muscles (1996)|userCF_rec;Saint of Fort Washington, The (1993)|userCF_rec;Entertaining Angels: The Dorothy Day Story (1996)|userCF_rec;Pather Panchali (1955)|userCF_rec;Some Mother's Son (1996)|userCF_rec;Anna (1996)|userCF_rec;Faust (1994)|userCF_rec"
7,"Schindler's List (1993)|hotest_rec;Santa with Muscles (1996)|userCF_rec;Toy Story (1995)|manual_rec;Casablanca (1942)|hotest_rec;Maya Lin: A Strong Clear Vision (1994)|userCF_rec;GoldenEye (1995)|manual_rec;Four Rooms (1995)|manual_rec;Shawshank Redemption, The (1994)|hotest_rec;Get Shorty (1995)|manual_rec;Copycat (1995)|manual_rec;Rear Window (1954)|hotest_rec;Usual Suspects, The (1995)|hotest_rec;Star Wars (1977)|hotest_rec;To Kill a Mockingbird (1962)|hotest_rec;One Flew Over the Cuckoo's Nest (1975)|hotest_rec;Silence of the Lambs, The (1991)|hotest_rec;Great Day in Harlem, A (1994)|userCF_rec;Godfather, The (1972)|hotest_rec;Faust (1994)|userCF_rec;Pather Panchali (1955)|userCF_rec;Aiqing wansui (1994)|userCF_rec;Anna (1996)|userCF_rec;Spanish Prisoner, The (1997)|userCF_rec;Someone Else's America (1995)|userCF_rec;Some Mother's Son (1996)|userCF_rec"
8,"Santa with Muscles (1996)|userCF_rec;Toy Story (1995)|manual_rec;GoldenEye (1995)|manual_rec;Four Rooms (1995)|manual_rec;Boys, Les (1997)|userCF_rec;Schindler's List (1993)|hotest_rec;Casablanca (1942)|hotest_rec;Great Day in Harlem, A (1994)|userCF_rec;Get Shorty (1995)|manual_rec;Copycat (1995)|manual_rec;Shawshank Redemption, The (1994)|hotest_rec;Rear Window (1954)|hotest_rec;Usual Suspects, The (1995)|hotest_rec;Star Wars (1977)|hotest_rec;To Kill a Mockingbird (1962)|hotest_rec;One Flew Over the Cuckoo's Nest (1975)|hotest_rec;Silence of the Lambs, The (1991)|hotest_rec;Pather Panchali (1955)|userCF_rec;Godfather, The (1972)|hotest_rec;Aiqing wansui (1994)|userCF_rec;Someone Else's America (1995)|userCF_rec;Some Mother's Son (1996)|userCF_rec;Entertaining Angels: The Dorothy Day Story (1996)|userCF_rec;Saint of Fort Washington, The (1993)|userCF_rec;Anna (1996)|userCF_rec"
9,"Toy Story (1995)|manual_rec;GoldenEye (1995)|manual_rec;Four Rooms (1995)|manual_rec;Schindler's List (1993)|hotest_rec;Get Shorty (1995)|manual_rec;Casablanca (1942)|hotest_rec;Delta of Venus (1994)|userCF_rec;Santa with Muscles (1996)|userCF_rec;Copycat (1995)|manual_rec;Shawshank Redemption, The (1994)|hotest_rec;Rear Window (1954)|hotest_rec;Great Day in Harlem, A (1994)|userCF_rec;Pather Panchali (1955)|userCF_rec;Aiqing wansui (1994)|userCF_rec;Usual Suspects, The (1995)|hotest_rec;Anna (1996)|userCF_rec;Star Wars (1977)|hotest_rec;To Kill a Mockingbird (1962)|hotest_rec;Someone Else's America (1995)|userCF_rec;Some Mother's Son (1996)|userCF_rec;One Flew Over the Cuckoo's Nest (1975)|hotest_rec;Silence of the Lambs, The (1991)|hotest_rec;Godfather, The (1972)|hotest_rec;Entertaining Angels: The Dorothy Day Story (1996)|userCF_rec;Saint of Fort Washington, The (1993)|userCF_rec"
10,"Toy Story (1995)|manual_rec;Schindler's List (1993)|userCF_rec;GoldenEye (1995)|manual_rec;Four Rooms (1995)|manual_rec;Casablanca (1942)|hotest_rec;Santa with Muscles (1996)|userCF_rec;Get Shorty (1995)|manual_rec;Great Day in Harlem, A (1994)|userCF_rec;Copycat (1995)|manual_rec;Faust (1994)|userCF_rec;Shawshank Redemption, The (1994)|hotest_rec;Rear Window (1954)|hotest_rec;Usual Suspects, The (1995)|hotest_rec;Star Wars (1977)|hotest_rec;Pather Panchali (1955)|userCF_rec;Aiqing wansui (1994)|userCF_rec;To Kill a Mockingbird (1962)|hotest_rec;One Flew Over the Cuckoo's Nest (1975)|hotest_rec;Silence of the Lambs, The (1991)|hotest_rec;Godfather, The (1972)|hotest_rec;Anna (1996)|userCF_rec;Spanish Prisoner, The (1997)|userCF_rec;Someone Else's America (1995)|userCF_rec;Some Mother's Son (1996)|userCF_rec"
